last phdos peak,cif
98.58577122703691,"# generated using pymatgen
data_BaTe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.01321616
_cell_length_b   5.01321616
_cell_length_c   5.01321616
_cell_angle_alpha   59.99999998
_cell_angle_beta   60.00000000
_cell_angle_gamma   59.99999998
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaTe
_chemical_formula_sum   'Ba1 Te1'
_cell_volume   89.09109456
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Te  Te0  1  0.50000000  0.50000000  0.50000000  1
  Ba  Ba1  1  0.00000000  0.00000000  0.00000000  1
"
701.5857233477558,"# generated using pymatgen
data_BAs
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.40772664
_cell_length_b   3.40772664
_cell_length_c   3.40772664
_cell_angle_alpha   60.00000001
_cell_angle_beta   60.00000001
_cell_angle_gamma   59.99999995
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BAs
_chemical_formula_sum   'B1 As1'
_cell_volume   27.98203209
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  B  B0  1  0.25000000  0.25000000  0.25000000  1
  As  As1  1  0.00000000  0.00000000  0.00000000  1
"
1138.5856886491724,"# generated using pymatgen
data_BaGaSiH
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.30150000
_cell_length_b   4.30149976
_cell_length_c   5.27030000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000183
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaGaSiH
_chemical_formula_sum   'Ba1 Ga1 Si1 H1'
_cell_volume   84.45119345
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.00000000  0.00000000  0.00000000  1
  Ga  Ga1  1  0.66660000  0.33330000  0.54230000  1
  Si  Si2  1  0.33340000  0.66670000  0.45550000  1
  H  H3  1  0.66660000  0.33330000  0.87590000  1
"
718.5857219979254,"# generated using pymatgen
data_AlGaN2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.16418132
_cell_length_b   3.16418132
_cell_length_c   4.46733096
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlGaN2
_chemical_formula_sum   'Al1 Ga1 N2'
_cell_volume   44.72711164
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.50000000  0.50000000  0.50000000  1
  Ga  Ga1  1  0.00000000  0.00000000  0.00000000  1
  N  N2  1  0.00000000  0.50000000  0.26121851  1
  N  N3  1  0.50000000  0.00000000  0.73878149  1
"
795.5857158839873,"# generated using pymatgen
data_BP
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.20030528
_cell_length_b   3.20025702
_cell_length_c   5.29809314
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00049881
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BP
_chemical_formula_sum   'B2 P2'
_cell_volume   46.99204067
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  B  B0  1  0.66666931  0.33333862  0.50027359  1
  B  B1  1  0.33333069  0.66666138  0.00027359  1
  P  P2  1  0.66666502  0.33333004  0.87472641  1
  P  P3  1  0.33333498  0.66666996  0.37472641  1
"
339.58575209120477,"# generated using pymatgen
data_YSF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.79599395
_cell_length_b   3.79599395
_cell_length_c   6.88517886
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YSF
_chemical_formula_sum   'Y2 S2 F2'
_cell_volume   99.21246722
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  F  F0  1  0.75000000  0.25000000  0.00000000  1
  F  F1  1  0.25000000  0.75000000  0.00000000  1
  S  S2  1  0.75000000  0.75000000  0.64330777  1
  S  S3  1  0.25000000  0.25000000  0.35669223  1
  Y  Y4  1  0.75000000  0.75000000  0.22894945  1
  Y  Y5  1  0.25000000  0.25000000  0.77105055  1
"
297.5857554260802,"# generated using pymatgen
data_TiGePt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.23607128
_cell_length_b   4.23607128
_cell_length_c   4.23607128
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiGePt
_chemical_formula_sum   'Ti1 Ge1 Pt1'
_cell_volume   53.74954363
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.00000000  0.00000000  0.00000000  1
  Ge  Ge1  1  0.50000000  0.50000000  0.50000000  1
  Pt  Pt2  1  0.75000000  0.75000000  0.75000000  1
"
247.5857593961698,"# generated using pymatgen
data_MgTe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.22788425
_cell_length_b   4.22788425
_cell_length_c   4.22788425
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgTe
_chemical_formula_sum   'Mg1 Te1'
_cell_volume   53.43850098
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.00000000  0.00000000  0.00000000  1
  Te  Te1  1  0.50000000  0.50000000  0.50000000  1
"
276.58575709351777,"# generated using pymatgen
data_MgSnAs2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.16129882
_cell_length_b   6.16129882
_cell_length_c   7.43596810
_cell_angle_alpha   114.47463086
_cell_angle_beta   114.47463086
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgSnAs2
_chemical_formula_sum   'Mg2 Sn2 As4'
_cell_volume   228.75707422
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.50000000  0.50000000  0.00000000  1
  Mg  Mg1  1  0.75000000  0.25000000  0.50000000  1
  Sn  Sn2  1  0.25000000  0.75000000  0.50000000  1
  Sn  Sn3  1  0.00000000  0.00000000  0.00000000  1
  As  As4  1  0.37560088  0.37500000  0.25000000  1
  As  As5  1  0.62500000  0.12560088  0.75000000  1
  As  As6  1  0.87439912  0.87500000  0.25000000  1
  As  As7  1  0.12500000  0.62439912  0.75000000  1
"
523.5857374812748,"# generated using pymatgen
data_BeSnAs2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.65578353
_cell_length_b   5.65578353
_cell_length_c   6.94635023
_cell_angle_alpha   114.02308529
_cell_angle_beta   114.02308529
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BeSnAs2
_chemical_formula_sum   'Be2 Sn2 As4'
_cell_volume   181.67835343
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Be  Be0  1  0.50000000  0.50000000  -0.00000000  1
  Be  Be1  1  0.75000000  0.25000000  0.50000000  1
  Sn  Sn2  1  0.25000000  0.75000000  0.50000000  1
  Sn  Sn3  1  0.00000000  -0.00000000  -0.00000000  1
  As  As4  1  0.43040484  0.37500000  0.25000000  1
  As  As5  1  0.62500000  0.18040484  0.75000000  1
  As  As6  1  0.81959516  0.87500000  0.25000000  1
  As  As7  1  0.12500000  0.56959516  0.75000000  1
"
